id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzLA34U9-feAP28uiN4AaABAg	0	0	2020-03-09 22:25:16	michel Charbonneau	I love this man....	UCGO6TcwZpnZUuYHC7ta7x1A	http://www.youtube.com/channel/UCGO6TcwZpnZUuYHC7ta7x1A	0		
Ugzmk9NUBs-E-xyIG754AaABAg	0	0	2020-03-08 07:15:24	anonymous anonymous	the thruth about global warming is its is real .... I live in a city which is know for it&#39;s moderate temperature and that&#39;s why I moved here but in last 10 years the average temperature has risen by 5-6 degrees Celsius...and its becoming warmer day by day ..... I would say people to plant more trees and use solar energy...... these people are misleading coz they have money invested in oil .I am not saying you go buy electric car what I am saying is plant more trees and use solar energy .you should see the speed with which ice is melting in Antarctic .	UCSMvHX946ueIyVYeKCyVDXA	http://www.youtube.com/channel/UCSMvHX946ueIyVYeKCyVDXA	0		
UgwCpv3yLDBD0wJgGFd4AaABAg	0	0	2020-03-02 20:56:42	Thiago Rezende	He must be right because he is a screaming old white dude.	UCHChvgLFXmdfXGR3o7RNqJQ	http://www.youtube.com/channel/UCHChvgLFXmdfXGR3o7RNqJQ	0		
UgxJCNGExvyazhLb_Bl4AaABAg	1	1	2020-02-26 13:16:51	Rihards Tolstiks	100% TRUTH!!!! 💎	UCBw866lqyjcHxqgRQITCDig	http://www.youtube.com/channel/UCBw866lqyjcHxqgRQITCDig	0		
UgxJCNGExvyazhLb_Bl4AaABAg.95VWftmG_gA95yj9ounF_s		0	2020-03-09 06:51:53	Leehamism	Actually, there is a blatant lie towards the end of the video. He looks straight at the interviewer and lies to his face. My guess is this is not uncommon behaviour for Pena.	UCkqiSX4O4C-SWYU-LzEofBQ	http://www.youtube.com/channel/UCkqiSX4O4C-SWYU-LzEofBQ	1	UgxJCNGExvyazhLb_Bl4AaABAg	Rihards Tolstiks
UgxmqJ7wNcDMpIGpfCZ4AaABAg	0	0	2020-02-22 06:52:07	Kamil Polak	Geothermal energy is available and only 500 years tap-able currently, 2 billion years of energy once invested in	UC670jKqdTAQNd3o7hR3F4vQ	http://www.youtube.com/channel/UC670jKqdTAQNd3o7hR3F4vQ	0		
UgxM5O0mXJarmK-dwc14AaABAg	0	0	2020-02-22 06:49:34	Kamil Polak	Maurice strong invented climate change through the UN, funded thru the Rothschilds	UC670jKqdTAQNd3o7hR3F4vQ	http://www.youtube.com/channel/UC670jKqdTAQNd3o7hR3F4vQ	0		
Ugwv35eeSuLyhM30GKF4AaABAg	0	0	2020-02-17 17:58:07	ick don	I hope liberals don’t watch this video. It will be a mass triggering. And, what’s the song during the outro	UCp8BJ5USI64SsFXDEaGyxuQ	http://www.youtube.com/channel/UCp8BJ5USI64SsFXDEaGyxuQ	0		
UgxUQXmbznGSeeniLEN4AaABAg	0	0	2020-02-17 16:50:59	Frank McNally	Man made Climate Change is a man made lie. Climate Change is a natural phenomenon, it&#39;s got nothing to do with people, it&#39;s a platform for huge taxation of the people, corporations and countries that don&#39;t conform to U.S. world policies, it&#39;s not only about money it&#39;s a political weapon and the biggest political lie in history.	UCS0c17UddWk-5DIj987JUNA	http://www.youtube.com/channel/UCS0c17UddWk-5DIj987JUNA	0		
UgyMQGo84dXhnJoY0AN4AaABAg	0	0	2020-02-10 07:22:59	Dee L	Socks ;)	UCTgLHZAi99cmw48bCHJScjQ	http://www.youtube.com/channel/UCTgLHZAi99cmw48bCHJScjQ	0		
